sample_index,timestamp_ms,ch2_mv,packet_index
58388,116776.000,-10.102893,2335
58389,116778.000,-9.938384,2335
58390,116780.000,-10.028459,2335
58391,116782.000,-10.453655,2335
58392,116784.000,-11.053563,2335
58393,116786.000,-11.401178,2335
58394,116788.000,-11.448862,2335
58395,116790.000,-11.258365,2335
58396,116792.000,-10.834123,2335
58397,116794.000,-10.392238,2335
58398,116796.000,-10.089971,2335
58399,116798.000,-9.924747,2335
58400,116800.000,-10.008765,2336
58401,116802.000,-10.427285,2336
58402,116804.000,-11.025001,2336
58403,116806.000,-11.367322,2336
58404,116808.000,-11.406518,2336
58405,116810.000,-11.218072,2336
58406,116812.000,-10.803033,2336
58407,116814.000,-10.372545,2336
58408,116816.000,-10.081102,2336
58409,116818.000,-9.923459,2336
58410,116820.000,-10.019590,2336
58411,116822.000,-10.454656,2336
58412,116824.000,-11.060954,2336
58413,116826.000,-11.411239,2336
58414,116828.000,-11.464549,2336
58415,116830.000,-11.287691,2336
58416,116832.000,-10.855867,2336
58417,116834.000,-10.408927,2336
58418,116836.000,-10.118963,2336
58419,116838.000,-9.967281,2336
58420,116840.000,-10.062553,2336
58421,116842.000,-10.489799,2336
58422,116844.000,-11.084606,2336
58423,116846.000,-11.420013,2336
58424,116848.000,-11.449911,2336
58425,116850.000,-11.256505,2337
58426,116852.000,-10.826541,2337
58427,116854.000,-10.387565,2337
58428,116856.000,-10.089208,2337
58429,116858.000,-9.932138,2337
58430,116860.000,-10.026075,2337
58431,116862.000,-10.450746,2337
58432,116864.000,-11.046697,2337
58433,116866.000,-11.386444,2337
58434,116868.000,-11.428214,2337
58435,116870.000,-11.232330,2337
58436,116872.000,-10.797311,2337
58437,116874.000,-10.355569,2337
58438,116876.000,-10.062982,2337
58439,116878.000,-9.908153,2337
58440,116880.000,-10.000325,2337
58441,116882.000,-10.435153,2337
58442,116884.000,-11.035587,2337
58443,116886.000,-11.373950,2337
58444,116888.000,-11.405565,2337
58445,116890.000,-11.219217,2337
58446,116892.000,-10.800983,2337
58447,116894.000,-10.379936,2337
58448,116896.000,-10.096742,2337
58449,116898.000,-9.951545,2337
58450,116900.000,-10.056592,2338
58451,116902.000,-10.503484,2338
58452,116904.000,-11.101390,2338
58453,116906.000,-11.436988,2338
58454,116908.000,-11.461116,2338
58455,116910.000,-11.269952,2338
58456,116912.000,-10.849620,2338
58457,116914.000,-10.431005,2338
58458,116916.000,-10.141183,2338
58459,116918.000,-9.988595,2338
58460,116920.000,-10.085298,2338
